France, Total Population,  Exposures (Lexis triangle)	Last modified: 13 Sep 2023;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1816   65      1751    47029.40    44387.63    91417.03
 1816   65      1750    45949.43    43074.83    89024.27
 1816   66      1750    44054.95    41408.33    85463.28
 1816   66      1749    42515.62    39859.82    82375.44
 1816   67      1749    40971.01    38429.75    79400.76
 1816   67      1748    39154.92    36699.07    75853.99
 1816   68      1748    37892.39    35465.69    73358.08
 1816   68      1747    35978.96    33700.70    69679.66
 1816   69      1747    34822.43    32536.71    67359.13
 1816   69      1746    33067.97    30945.51    64013.48
 1816   70      1746    31864.54    29748.53    61613.06
 1816   70      1745    30764.17    28971.32    59735.48
 1816   71      1745    28894.59    27181.89    56076.48
 1816   71      1744    28019.88    26377.04    54396.91
 1816   72      1744    26339.03    24815.03    51154.05
 1816   72      1743    25256.78    23776.56    49033.34
 1816   73      1743    23833.84    22494.74    46328.57
 1816   73      1742    22412.36    21110.09    43522.45
 1816   74      1742    21367.82    20187.79    41555.61
 1816   74      1741    20112.52    18955.90    39068.41
 1816   75      1741    18901.68    17841.23    36742.91
 1816   75      1740    18331.39    17133.05    35464.44
 1816   76      1740    17084.32    15958.37    33042.69
 1816   76      1739    16186.65    15124.67    31311.32
 1816   77      1739    15169.33    14093.72    29263.05
 1816   77      1738    14173.42    13229.37    27402.78
 1816   78      1738    13408.75    12367.46    25776.21
 1816   78      1737    12230.73    11393.15    23623.89
 1816   79      1737    11729.34    10737.47    22466.81
 1816   79      1736    12501.38    11622.52    24123.90
 1816   80      1736     9831.67     9165.58    18997.26
 1816   80      1735     9367.14     8758.12    18125.25
 1816   81      1735     8362.85     7799.10    16161.95
 1816   81      1734     7935.58     7431.86    15367.43
 1816   82      1734     6998.65     6541.57    13540.22
 1816   82      1733     6604.59     6202.07    12806.66
 1816   83      1733     5756.64     5399.25    11155.89
 1816   83      1732     5382.33     5064.18    10446.51
 1816   84      1732     4644.98     4367.56     9012.54
 1816   84      1731     4297.97     4044.03     8341.99
 1816   85      1731     3686.97     3466.27     7153.24
 1816   85      1730     3388.41     3181.82     6570.23
 1816   86      1730     2909.19     2728.33     5637.52
 1816   86      1729     2654.23     2485.84     5140.06
 1816   87      1729     2284.57     2134.71     4419.27
 1816   87      1728     2074.04     1938.59     4012.63
 1816   88      1728     1790.75     1667.97     3458.73
 1816   88      1727     1635.98     1527.09     3163.07
 1816   89      1727     1415.88     1315.15     2731.03
 1816   89      1726     1306.34     1219.65     2525.99
 1816   90      1726     1126.64     1044.92     2171.56
 1816   90      1725     1040.55      977.14     2017.69
 1816   91      1725      890.65      830.13     1720.78
 1816   91      1724      821.21      780.33     1601.54
 1816   92      1724      695.33      656.01     1351.34
 1816   92      1723      637.39      610.68     1248.06
 1816   93      1723      533.01      507.13     1040.14
 1816   93      1722      481.90      471.37      953.27
 1816   94      1722      396.50      386.68      783.19
 1816   94      1721      353.19      356.33      709.51
 1816   95      1721      283.70      287.84      571.53
 1816   95      1720      253.48      259.06      512.55
 1816   96      1720      199.04      206.31      405.35
 1816   96      1719      179.83      183.69      363.52
 1816   97      1719      137.79      143.52      281.31
 1816   97      1718      126.48      130.45      256.93
 1816   98      1718       95.02      100.59      195.62
 1816   98      1717       86.46       85.48      171.94
 1816   99      1717       63.74       63.68      127.43
 1816   99      1716       57.65       58.12      115.77
 1816   100     1716       43.40       43.24       86.64
 1816   100     1715       37.45       39.11       76.56
 1816   101     1715       30.28       30.12       60.40
 1816   101     1714       26.10       27.53       53.64
 1816   102     1714       21.19       21.16       42.35
 1816   102     1713       17.84       18.96       36.80
 1816   103     1713       14.52       14.50       29.02
 1816   103     1712       12.33       13.11       25.44
 1816   104     1712       10.13       10.02       20.15
 1816   104     1711        8.36        9.05       17.41
 1816   105     1711        6.91        6.94       13.85
 1816   105     1710        5.50        6.09       11.59
 1816   106     1710        4.57        4.67        9.23
 1816   106     1709        3.64        3.95        7.59
 1816   107     1709        3.05        3.01        6.06
 1816   107     1708        2.46        2.58        5.04
 1816   108     1708        2.09        1.96        4.05
 1816   108     1707        1.65        1.74        3.39
 1816   109     1707        1.42        1.34        2.76
 1816   109     1706        0.82        1.15        1.97
 1816   110+       .        2.41        1.88        4.29
 1817    0      1817   211991.90   223463.53   435455.43
 1817    0      1816   204599.31   213142.33   417741.64
 1817    1      1816   191395.70   196430.27   387825.97
 1817    1      1815   196093.48   206477.25   402570.73
 1817    2      1815   187682.38   197190.79   384873.17
 1817    2      1814   173916.96   179257.00   353173.96
 1817    3      1814   170177.51   175868.89   346046.41
 1817    3      1813   166362.56   171349.70   337712.25
 1817    4      1813   164094.88   169483.55   333578.42
 1817    4      1812   161123.99   165863.07   326987.06
 1817    5      1812   159712.33   164858.62   324570.95
 1817    5      1811   157056.26   161560.29   318616.55
 1817    6      1811   155802.32   160712.91   316515.22
 1817    6      1810   153110.27   161448.22   314558.49
 1817    7      1810   152045.07   160054.99   312100.06
 1817    7      1809   150510.34   158581.45   309091.79
 1817    8      1809   149680.34   157441.14   307121.48
 1817    8      1808   148372.26   156202.59   304574.85
 1817    9      1808   147732.52   155272.88   303005.39
 1817    9      1807   146513.66   154109.73   300623.39
 1817   10      1807   145906.08   153227.39   299133.47
 1817   10      1806   143891.40   151220.68   295112.08
 1817   11      1806   142735.97   149795.26   292531.23
 1817   11      1805   144658.68   145512.18   290170.86
 1817   12      1805   144028.42   144846.43   288874.85
 1817   12      1804   143467.33   144264.05   287731.37
 1817   13      1804   142858.13   143648.10   286506.23
 1817   13      1803   142252.53   143045.12   285297.65
 1817   14      1803   141628.42   142446.82   284075.24
 1817   14      1802   140985.82   141843.65   282829.47
 1817   15      1802   140333.57   141262.01   281595.58
 1817   15      1801   139973.21   140998.52   280971.73
 1817   16      1801   139577.68   140689.08   280266.75
 1817   16      1800   145315.87   141032.77   286348.64
 1817   17      1800   145150.22   140962.85   286113.06
 1817   17      1799   143973.78   139947.29   283921.07
 1817   18      1799   143480.14   139542.83   283022.96
 1817   18      1798   141193.21   137421.14   278614.35
 1817   19      1798   140396.04   136677.61   277073.65
 1817   19      1797   137206.65   133623.41   270830.06
 1817   20      1797   136237.73   132634.36   268872.09
 1817   20      1796   132667.87   129112.01   261779.88
