Year,Age,Sex,Deaths,TL_Deaths,TU_Deaths_Next_Year,Cohort,Population,TL_Deaths_Prev_Year,TU_Deaths_Same_Year,Exposure
1960,81,f,8923,4464,4459,1879,97723,4435,5026,97526
1960,81,m,6447,3230,3217,1879,52234,3220,3700,52074
1961,81,f,9395,4350,5045,1880,97763,4464,4459,97764.66666666667
1961,81,m,6466,3009,3457,1880,50215,3230,3217,50219.333333333336
1962,81,f,10359,4727,5632,1881,102455,4350,5045,102223.33333333333
1962,81,m,7048,3195,3853,1881,52152,3009,3457,52002.666666666664
1963,81,f,9550,4694,4856,1882,105143,4727,5632,104841.33333333333
1963,81,m,6454,3147,3307,1882,51672,3195,3853,51452.666666666664
1964,81,f,9826,4574,5252,1883,105849,4694,4856,105795
1964,81,m,6550,3181,3369,1883,52238,3147,3307,52184.666666666664
1965,81,f,9693,4660,5033,1884,109278,4574,5252,109052
1965,81,m,6473,3247,3226,1884,53319,3181,3369,53256.333333333336
1966,81,f,9778,4686,5092,1885,111851,4660,5033,111726.66666666667
1966,81,m,6649,3206,3443,1885,54526,3247,3226,54533
1967,81,f,10025,4832,5193,1886,111792,4686,5092,111656.66666666667
1967,81,m,6929,3346,3583,1886,53864,3206,3443,53785
1968,81,f,10081,4884,5197,1887,115816,4832,5193,115695.66666666667
1968,81,m,6596,3239,3357,1887,55001,3346,3583,54922
1969,81,f,10018,5028,4990,1888,117510,4884,5197,117405.66666666667
1969,81,m,6925,3555,3370,1888,55509,3239,3357,55469.666666666664
1970,81,f,9929,4793,5136,1889,119511,5028,4990,119523.66666666667
1970,81,m,6589,3254,3335,1889,55536,3555,3370,55597.666666666664
1971,81,f,9471,4718,4753,1890,117378,4793,5136,117263.66666666667
1971,81,m,6307,3187,3120,1890,53603,3254,3335,53576
1972,81,f,10541,5125,5416,1891,124495,4718,4753,124483.33333333333
1972,81,m,6637,3223,3414,1891,55935,3187,3120,55957.333333333336
1973,81,f,9662,4939,4723,1892,123726,5125,5416,123629
1973,81,m,6189,3146,3043,1892,53749,3223,3414,53685.333333333336
1974,81,f,11005,5453,5552,1893,132110,4939,4723,132182
1974,81,m,6719,3403,3316,1893,56703,3146,3043,56737.333333333336
1975,81,f,10595,5080,5515,1894,133685,5453,5552,133652
1975,81,m,6618,3286,3332,1894,56527,3403,3316,56556
1976,81,f,10016,5080,4936,1895,132372,5080,5515,132227
1976,81,m,6366,3289,3077,1895,56189,3286,3332,56173.666666666664
1977,81,f,10641,5131,5510,1896,143851,5080,4936,143899
1977,81,m,7540,3648,3892,1896,66208,3289,3077,66278.66666666667
1978,81,f,10467,5135,5332,1897,144600,5131,5510,144473.66666666666
1978,81,m,7743,3872,3871,1897,69049,3648,3892,68967.66666666667
1979,81,f,10230,5086,5144,1898,144322,5135,5332,144256.33333333334
1979,81,m,7853,3958,3895,1898,71593,3872,3871,71593.33333333333
1980,81,f,10891,5253,5638,1899,150373,5086,5144,150353.66666666666
1980,81,m,8772,4369,4403,1899,77076,3958,3895,77097
1981,81,f,10676,5270,5406,1900,152417,5253,5638,152288.66666666666
1981,81,m,8637,4396,4241,1900,78909,4369,4403,78897.66666666667
1982,81,f,11372,5615,5757,1901,164327,5270,5406,164281.66666666666
1982,81,m,9234,4584,4650,1901,84753,4396,4241,84804.66666666667
1983,81,f,11230,5732,5498,1902,166649,5615,5757,166601.66666666666
1983,81,m,9272,4782,4490,1902,87231,4584,4650,87209
1984,81,f,10964,5364,5600,1903,165497,5732,5498,165575
1984,81,m,9128,4398,4730,1903,86751,4782,4490,86848.33333333333
1985,81,f,11067,5314,5753,1904,167809,5364,5600,167730.33333333334
1985,81,m,9267,4634,4633,1904,87381,4398,4730,87270.33333333333
1986,81,f,10139,5060,5079,1905,169216,5314,5753,169069.66666666666
1986,81,m,8902,4411,4491,1905,89653,4634,4633,89653.33333333333
1987,81,f,10003,5094,4909,1906,173382,5060,5079,173375.66666666666
1987,81,m,8892,4486,4406,1906,92016,4411,4491,91989.33333333333
1955,82,f,9050.912511283626,4104.9125112836255,4946,1873,75223.91251128362,3855.787759964837,4766.059482521071,74920.48860376487
1955,82,m,6700.694833762507,3125.694833762507,3575,1873,41672.69483376251,2886.589747148773,3363.74775230186,41513.64216537814
1956,82,f,8811,4430,4381,1874,78272,4104.9125112836255,4946,77991.6375037612
1956,82,m,6382,3131,3251,1874,43305,3125.694833762507,3575,43155.23161125417
1957,82,f,8850,4440,4410,1875,80484,4430,4381,80500.33333333333
1957,82,m,6395,3235,3160,1875,44071,3131,3251,44031
1958,82,f,9286,4622,4664,1876,84180,4440,4410,84190
1958,82,m,6547,3222,3325,1876,45664,3235,3160,45689
1959,82,f,9198,4326,4872,1877,85464,4622,4664,85450
1959,82,m,6739,3163,3576,1877,45837,3222,3325,45802.666666666664
1960,82,f,8911,4444,4467,1878,86094,4326,4872,85912
1960,82,m,5953,2978,2975,1878,44620,3163,3576,44482.333333333336
1961,82,f,9666,4426,5240,1879,88800,4444,4467,88792.33333333333
1961,82,m,6614,3111,3503,1879,45787,2978,2975,45788
1962,82,f,9743,4520,5223,1880,88368,4426,5240,88096.66666666667
1962,82,m,6425,3096,3329,1880,43749,3111,3503,43618.333333333336
1963,82,f,9217,4508,4709,1881,92096,4520,5223,91861.66666666667
1963,82,m,6190,3006,3184,1881,45104,3096,3329,45026.333333333336
1964,82,f,9933,4609,5324,1882,95593,4508,4709,95526
1964,82,m,6288,3007,3281,1882,45218,3006,3184,45158.666666666664
1965,82,f,9443,4672,4771,1883,96023,4609,5324,95784.66666666667
1965,82,m,6197,3111,3086,1883,45688,3007,3281,45596.666666666664
1966,82,f,9734,4645,5089,1884,99585,4672,4771,99552
1966,82,m,6324,3077,3247,1884,46846,3111,3086,46854.333333333336
1967,82,f,10322,4869,5453,1885,102073,4645,5089,101925
1967,82,m,6604,3218,3386,1885,47877,3077,3247,47820.333333333336
1968,82,f,9514,4652,4862,1886,101767,4869,5453,101572.33333333333
1968,82,m,6356,3133,3223,1886,46935,3218,3386,46879
1969,82,f,10278,5139,5139,1887,105735,4652,4862,105665
1969,82,m,6777,3486,3291,1887,48405,3133,3223,48375
1970,82,f,10160,4958,5202,1888,107492,5139,5139,107492
1970,82,m,6276,3125,3151,1888,48584,3486,3291,48649
1971,82,f,10094,4976,5118,1889,109582,4958,5202,109500.66666666667
1971,82,m,6278,3204,3074,1889,48947,3125,3151,48938.333333333336
1972,82,f,10032,4863,5169,1890,107907,4976,5118,107859.66666666667
1972,82,m,6109,3004,3105,1890,47296,3204,3074,47339.333333333336
1973,82,f,10115,5114,5001,1891,113954,4863,5169,113852
1973,82,m,6080,3135,2945,1891,49298,3004,3105,49264.333333333336
1974,82,f,10503,5186,5317,1892,114064,5114,5001,114101.66666666667
1974,82,m,6165,3038,3127,1892,47560,3135,2945,47623.333333333336
1975,82,f,10827,5297,5530,1893,121105,5186,5317,121061.33333333333
