Year,Age,Sex,Deaths,TL_Deaths,TU_Deaths_Next_Year,Cohort,Population,TL_Deaths_Prev_Year,TU_Deaths_Same_Year,Exposure
1978,85,m,5097,2551,2546,1893,32258,2276,2485,32188.333333333332
1979,85,f,10085,5093,4992,1894,91692,4939,5121,91631.33333333333
1979,85,m,4943,2515,2428,1894,32535,2551,2546,32536.666666666668
1980,85,f,10697,5295,5402,1895,91543,5093,4992,91576.66666666667
1980,85,m,5249,2611,2638,1895,32742,2515,2428,32771
1981,85,f,11026,5552,5474,1896,99740,5295,5402,99704.33333333333
1981,85,m,5718,2884,2834,1896,38242,2611,2638,38233
1982,85,f,11034,5374,5660,1897,101029,5552,5474,101055
1982,85,m,6241,3050,3191,1897,40175,2884,2834,40191.666666666664
1983,85,f,10938,5521,5417,1898,101024,5374,5660,100928.66666666667
1983,85,m,6343,3212,3131,1898,41547,3050,3191,41500
1984,85,f,11376,5426,5950,1899,105950,5521,5417,105984.66666666667
1984,85,m,6869,3356,3513,1899,44900,3212,3131,44927
1985,85,f,11580,5647,5933,1900,107992,5426,5950,107817.33333333333
1985,85,m,6996,3430,3566,1900,46475,3356,3513,46422.666666666664
1986,85,f,11402,5758,5644,1901,117556,5647,5933,117460.66666666667
1986,85,m,7222,3659,3563,1901,50218,3430,3566,50172.666666666664
1987,85,f,11323,5690,5633,1902,120179,5758,5644,120217
1987,85,m,7249,3647,3602,1902,52230,3659,3563,52262
1988,85,f,11346,5673,5673,1903,120920,5690,5633,120939
1988,85,m,7280,3750,3530,1903,52760,3647,3602,52775
1989,85,f,11605,5884,5721,1904,124068,5673,5673,124068
1989,85,m,7433,3785,3648,1904,54080,3750,3530,54153.333333333336
1990,85,f,11313,5643,5670,1905,126121,5884,5721,126175.33333333333
1990,85,m,7228,3653,3575,1905,56151,3785,3648,56196.666666666664
1991,85,f,11411,5725,5686,1906,130598,5643,5670,130589
1991,85,m,7509,3848,3661,1906,58110,3653,3575,58136
1959,86,f,6939,3268,3671,1873,42809,3328,3588,42722.333333333336
1959,86,m,4077,1906,2171,1873,19906,1895,2099,19838
1960,86,f,6763,3381,3382,1874,44865,3268,3671,44730.666666666664
1960,86,m,3995,2030,1965,1874,21035,1906,2171,20946.666666666668
1961,86,f,7542,3522,4020,1875,46859,3381,3382,46858.666666666664
1961,86,m,4438,2083,2355,1875,21652,2030,1965,21673.666666666668
1962,86,f,8398,4001,4397,1876,48906,3522,4020,48740
1962,86,m,4830,2313,2517,1876,22512,2083,2355,22421.333333333332
1963,86,f,7540,3752,3788,1877,49668,4001,4397,49536
1963,86,m,4223,2122,2101,1877,22276,2313,2517,22208
1964,86,f,7703,3531,4172,1878,50253,3752,3788,50241
1964,86,m,4293,1992,2301,1878,22074,2122,2101,22081
1965,86,f,7735,3819,3916,1879,52176,3531,4172,51962.333333333336
1965,86,m,4202,2153,2049,1879,22574,1992,2301,22471
1966,86,f,7720,3749,3971,1880,52908,3819,3916,52875.666666666664
1966,86,m,3975,1992,1983,1880,22086,2153,2049,22120.666666666668
1967,86,f,8334,3985,4349,1881,55863,3749,3971,55789
1967,86,m,4389,2083,2306,1881,23187,1992,1983,23190
1968,86,f,8430,4088,4342,1882,58013,3985,4349,57891.666666666664
1968,86,m,4264,2208,2056,1882,23145,2083,2306,23070.666666666668
1969,86,f,8512,4212,4300,1883,58695,4088,4342,58610.333333333336
1969,86,m,4350,2275,2075,1883,23502,2208,2056,23552.666666666668
1970,86,f,8586,4177,4409,1884,61131,4212,4300,61101.666666666664
1970,86,m,4510,2202,2308,1884,24240,2275,2075,24306.666666666668
1971,86,f,8841,4368,4473,1885,62735,4177,4409,62657.666666666664
1971,86,m,4474,2257,2217,1885,24774,2202,2308,24738.666666666668
1972,86,f,9066,4351,4715,1886,63599,4368,4473,63564
1972,86,m,4482,2199,2283,1886,24313,2257,2217,24326.333333333332
1973,86,f,8822,4509,4313,1887,65875,4351,4715,65753.66666666667
1973,86,m,4509,2293,2216,1887,25239,2199,2283,25211
1974,86,f,9380,4802,4578,1888,68005,4509,4313,68070.33333333333
1974,86,m,4746,2422,2324,1888,25941,2293,2216,25966.666666666668
1975,86,f,9592,4745,4847,1889,69423,4802,4578,69497.66666666667
1975,86,m,4725,2313,2412,1889,25890,2422,2324,25922.666666666668
1976,86,f,8894,4562,4332,1890,68455,4745,4847,68421
1976,86,m,4361,2256,2105,1890,25202,2313,2412,25169
1977,86,f,9306,4529,4777,1891,73192,4562,4332,73268.66666666667
1977,86,m,4532,2307,2225,1891,26652,2256,2105,26702.333333333332
1978,86,f,9159,4543,4616,1892,73449,4529,4777,73366.33333333333
1978,86,m,4330,2204,2126,1892,25678,2307,2225,25705.333333333332
1979,86,f,9976,4959,5017,1893,79573,4543,4616,79548.66666666667
1979,86,m,4442,2256,2186,1893,27161,2204,2126,27187
1980,86,f,10468,5067,5401,1894,81607,4959,5017,81587.66666666667
1980,86,m,4773,2351,2422,1894,27592,2256,2186,27615.333333333332
1981,86,f,9839,5084,4755,1895,80846,5067,5401,80734.66666666667
1981,86,m,4567,2288,2279,1895,27493,2351,2422,27469.333333333332
1982,86,f,11035,5368,5667,1896,88714,5084,4755,88823.66666666667
1982,86,m,5501,2714,2787,1896,32524,2288,2279,32527
1983,86,f,11001,5521,5480,1897,89995,5368,5667,89895.33333333333
1983,86,m,5612,2834,2778,1897,33934,2714,2787,33909.666666666664
1984,86,f,10861,5220,5641,1898,90086,5521,5480,90099.66666666667
1984,86,m,5936,2942,2994,1898,35204,2834,2778,35222.666666666664
1985,86,f,11239,5416,5823,1899,94574,5220,5641,94433.66666666667
1985,86,m,6457,3213,3244,1899,38031,2942,2994,38013.666666666664
1986,86,f,10453,5283,5170,1900,96412,5416,5823,96276.33333333333
1986,86,m,6109,3045,3064,1900,39479,3213,3244,39468.666666666664
1987,86,f,11179,5517,5662,1901,106154,5283,5170,106191.66666666667
1987,86,m,6512,3344,3168,1901,42996,3045,3064,42989.666666666664
1988,86,f,11271,5645,5626,1902,108856,5517,5662,108807.66666666667
1988,86,m,6560,3288,3272,1902,44981,3344,3168,45039.666666666664
1989,86,f,11581,5828,5753,1903,109574,5645,5626,109580.33333333333
1989,86,m,6758,3427,3331,1903,45480,3288,3272,45485.333333333336
1990,86,f,11383,5702,5681,1904,112463,5828,5753,112488
1990,86,m,6826,3475,3351,1904,46647,3427,3331,46679
1991,86,f,11246,5625,5621,1905,114808,5702,5681,114815
1991,86,m,6988,3481,3507,1905,48923,3475,3351,48964.333333333336
1992,86,f,11474,5577,5897,1906,119187,5625,5621,119188.33333333333
1992,86,m,7150,3537,3613,1906,50601,3481,3507,50592.333333333336
1960,87,f,6020,3055,2965,1873,35870,2885,3459,35678.666666666664
1960,87,m,3294,1669,1625,1873,15829,1579,1982,15694.666666666666
1961,87,f,6643,3025,3618,1874,38102,3055,2965,38132
1961,87,m,3702,1730,1972,1874,17040,1669,1625,17054.666666666668
1962,87,f,7343,3451,3892,1875,39317,3025,3618,39119.333333333336
1962,87,m,3952,1887,2065,1875,17214,1730,1972,17133.333333333332
1963,87,f,6795,3418,3377,1876,40508,3451,3892,40361
1963,87,m,3671,1889,1782,1876,17682,1887,2065,17622.666666666668
1964,87,f,6953,3234,3719,1877,42128,3418,3377,42141.666666666664
1964,87,m,3711,1700,2011,1877,18053,1889,1782,18088.666666666668
1965,87,f,6933,3403,3530,1878,42550,3234,3719,42388.333333333336
1965,87,m,3502,1778,1724,1878,17781,1700,2011,17677.333333333332
1966,87,f,7270,3514,3756,1879,44441,3403,3530,44398.666666666664
1966,87,m,3717,1781,1936,1879,18372,1778,1724,18390
1967,87,f,7439,3643,3796,1880,45188,3514,3756,45107.333333333336
1967,87,m,3625,1809,1816,1880,18111,1781,1936,18059.333333333332
1968,87,f,7597,3614,3983,1881,47529,3643,3796,47478
1968,87,m,3642,1846,1796,1881,18798,1809,1816,18795.666666666668
1969,87,f,7953,3998,3955,1882,49583,3614,3983,49460
1969,87,m,3779,1920,1859,1882,18881,1846,1796,18897.666666666668
1970,87,f,7949,3795,4154,1883,50183,3998,3955,50197.333333333336
1970,87,m,3725,1869,1856,1883,19152,1920,1859,19172.333333333332
1971,87,f,8061,4057,4004,1884,52545,3795,4154,52425.333333333336
1971,87,m,3761,1864,1897,1884,19730,1869,1856,19734.333333333332
1972,87,f,8501,4154,4347,1885,53894,4057,4004,53911.666666666664
1972,87,m,3979,1921,2058,1885,20300,1864,1897,20289
1973,87,f,8373,4247,4126,1886,54533,4154,4347,54468.666666666664
1973,87,m,3675,1896,1779,1886,19831,1921,2058,19785.333333333332
1974,87,f,8890,4412,4478,1887,57053,4247,4126,57093.333333333336
1974,87,m,4017,2000,2017,1887,20730,1896,1779,20769
1975,87,f,8815,4335,4480,1888,58625,4412,4478,58603
1975,87,m,4103,2077,2026,1888,21195,2000,2017,21189.333333333332
1976,87,f,8542,4312,4230,1889,59831,4335,4480,59782.666666666664
1976,87,m,3861,2034,1827,1889,21165,2077,2026,21182
1977,87,f,8324,4057,4267,1890,59561,4312,4230,59588.333333333336
1977,87,m,3903,1923,1980,1890,20841,2034,1827,20910
1978,87,f,8988,4572,4416,1891,63886,4057,4267,63816
1978,87,m,4098,2140,1958,1891,22120,1923,1980,22101
1979,87,f,8979,4495,4484,1892,64290,4572,4416,64342
1979,87,m,3903,1968,1935,1892,21348,2140,1958,21408.666666666668
1980,87,f,9956,4849,5107,1893,69597,4495,4484,69600.66666666667
1980,87,m,4249,2038,2211,1893,22719,1968,1935,22730
1981,87,f,9694,4904,4790,1894,71139,4849,5107,71053
1981,87,m,4179,2137,2042,1894,22819,2038,2211,22761.333333333332
1982,87,f,9798,4874,4924,1895,71007,4904,4790,71045
1982,87,m,4178,2054,2124,1895,22926,2137,2042,22957.666666666668
1983,87,f,10501,5324,5177,1896,77679,4874,4924,77662.33333333333
1983,87,m,4795,2472,2323,1896,27023,2054,2124,26999.666666666668
1984,87,f,10542,5116,5426,1897,78994,5324,5177,79043
1984,87,m,5166,2508,2658,1897,28322,2472,2323,28371.666666666668
1985,87,f,10529,5122,5407,1898,79225,5116,5426,79121.66666666667
1985,87,m,5256,2627,2629,1898,29268,2508,2658,29218
1986,87,f,10242,5166,5076,1899,83335,5122,5407,83240
1986,87,m,5441,2751,2690,1899,31574,2627,2629,31573.333333333332
1987,87,f,10110,5076,5034,1900,85959,5166,5076,85989
1987,87,m,5527,2883,2644,1900,33370,2751,2690,33390.333333333336
1988,87,f,11027,5633,5394,1901,94975,5076,5034,94989
1988,87,m,5957,3017,2940,1901,36484,2883,2644,36563.666666666664
1989,87,f,11628,5847,5781,1902,97585,5633,5394,97664.66666666667
1989,87,m,6392,3225,3167,1902,38421,3017,2940,38446.666666666664
1990,87,f,10959,5433,5526,1903,97993,5847,5781,98015
1990,87,m,6131,3071,3060,1903,38722,3225,3167,38741.333333333336
1991,87,f,11448,5707,5741,1904,101080,5433,5526,101049
1991,87,m,6188,3120,3068,1904,39821,3071,3060,39824.666666666664
1992,87,f,11135,5461,5674,1905,103562,5707,5741,103550.66666666667
1992,87,m,6338,3111,3227,1905,41935,3120,3068,41952.333333333336
1993,87,f,11543,5970,5573,1906,107713,5461,5674,107642
1993,87,m,6660,3381,3279,1906,43451,3111,3227,43412.333333333336
1961,88,f,5633,2602,3031,1873,29850,2604,2729,29808.333333333332
1961,88,m,2970,1401,1569,1873,12535,1373,1445,12511
1962,88,f,6475,2970,3505,1874,31459,2602,3031,31316
1962,88,m,3269,1538,1731,1874,13338,1401,1569,13282
1963,88,f,5649,2759,2890,1875,31974,2970,3505,31795.666666666668
1963,88,m,2970,1515,1455,1875,13262,1538,1731,13197.666666666666
1964,88,f,6202,3013,3189,1876,33713,2759,2890,33669.333333333336
1964,88,m,3214,1532,1682,1876,14011,1515,1455,14031
1965,88,f,6174,3074,3100,1877,35175,3013,3189,35116.333333333336
1965,88,m,3099,1581,1518,1877,14342,1532,1682,14292
1966,88,f,6328,3089,3239,1878,35617,3074,3100,35608.333333333336
1966,88,m,3101,1532,1569,1878,14279,1581,1518,14300
1967,88,f,6793,3205,3588,1879,37171,3089,3239,37121
1967,88,m,3280,1577,1703,1879,14655,1532,1569,14642.666666666666
1968,88,f,6470,3251,3219,1880,37749,3205,3588,37621.333333333336
1968,88,m,3103,1572,1531,1880,14486,1577,1703,14444
1969,88,f,6986,3433,3553,1881,39932,3251,3219,39942.666666666664
1969,88,m,3196,1628,1568,1881,15156,1572,1531,15169.666666666666
1970,88,f,7257,3373,3884,1882,41630,3433,3553,41590
1970,88,m,3184,1568,1616,1882,15102,1628,1568,15122
1971,88,f,7030,3537,3493,1883,42234,3373,3884,42063.666666666664
1971,88,m,3173,1659,1514,1883,15427,1568,1616,15411
1972,88,f,7541,3604,3937,1884,44484,3537,3493,44498.666666666664
1972,88,m,3331,1578,1753,1884,15969,1659,1514,16017.333333333334
1973,88,f,7283,3620,3663,1885,45393,3604,3937,45282
1973,88,m,3314,1721,1593,1885,16321,1578,1753,16262.666666666666
1974,88,f,7800,3923,3877,1886,46160,3620,3663,46145.666666666664
1974,88,m,3363,1713,1650,1886,16156,1721,1593,16198.666666666666
1975,88,f,8205,3904,4301,1887,48163,3923,3877,48178.333333333336
1975,88,m,3569,1766,1803,1887,16713,1713,1650,16734
1976,88,f,7876,4022,3854,1888,49810,3904,4301,49677.666666666664
1976,88,m,3393,1701,1692,1888,17092,1766,1803,17079.666666666668
1977,88,f,7897,3829,4068,1889,51289,4022,3854,51345
1977,88,m,3445,1699,1746,1889,17304,1701,1692,17307
1978,88,f,7905,4053,3852,1890,51237,3829,4068,51157.333333333336
1978,88,m,3339,1663,1676,1890,16938,1699,1746,16922.333333333332
1979,88,f,8290,4226,4064,1891,54898,4053,3852,54965
1979,88,m,3442,1755,1687,1891,18022,1663,1676,18017.666666666668
1980,88,f,8777,4400,4377,1892,55311,4226,4064,55365
1980,88,m,3529,1732,1797,1892,17445,1755,1687,17467.666666666668
1981,88,f,8938,4511,4427,1893,59641,4400,4377,59648.666666666664
1981,88,m,3569,1773,1796,1893,18470,1732,1797,18448.333333333332
1982,88,f,9312,4564,4748,1894,61445,4511,4427,61473
1982,88,m,3629,1820,1809,1894,18640,1773,1796,18632.333333333332
1983,88,f,9372,4882,4490,1895,61209,4564,4748,61147.666666666664
1983,88,m,3654,1895,1759,1895,18748,1820,1809,18751.666666666668
1984,88,f,10028,4767,5261,1896,67178,4882,4490,67308.66666666667
1984,88,m,4301,2143,2158,1896,22228,1895,1759,22273.333333333332
1985,88,f,10121,4923,5198,1897,68452,4767,5261,68287.33333333333
1985,88,m,4491,2175,2316,1897,23156,2143,2158,23151
1986,88,f,9492,4726,4766,1898,68696,4923,5198,68604.33333333333
1986,88,m,4272,2200,2072,1898,24012,2175,2316,23965
1987,88,f,9664,4772,4892,1899,73093,4726,4766,73079.66666666667
1987,88,m,4633,2278,2355,1899,26133,2200,2072,26175.666666666668
1988,88,f,9906,4980,4926,1900,75849,4772,4892,75809
1988,88,m,5021,2593,2428,1900,27843,2278,2355,27817.333333333332
1989,88,f,11025,5661,5364,1901,83948,4980,4926,83966
1989,88,m,5711,2878,2833,1901,30527,2593,2428,30582
1990,88,f,10667,5314,5353,1902,85957,5661,5364,86056
1990,88,m,5584,2831,2753,1902,32029,2878,2833,32044
1991,88,f,10874,5376,5498,1903,87034,5314,5353,87021
1991,88,m,5552,2840,2712,1903,32591,2831,2753,32617
1992,88,f,10832,5273,5559,1904,89632,5376,5498,89591.33333333333
1992,88,m,5555,2770,2785,1904,33633,2840,2712,33675.666666666664
1993,88,f,11125,5730,5395,1905,92427,5273,5559,92331.66666666667
1993,88,m,6069,3088,2981,1905,35597,2770,2785,35592
1994,88,f,11241,5467,5774,1906,96170,5730,5395,96281.66666666667
1994,88,m,6124,3058,3066,1906,36791,3088,2981,36826.666666666664
1962,89,f,5298,2419,2879,1873,24217,2214,2648,24072.333333333332
1962,89,m,2559,1231,1328,1873,9565,1144,1380,9486.333333333334
1963,89,f,4934,2446,2488,1874,24984,2419,2879,24830.666666666668
1963,89,m,2369,1184,1185,1874,10069,1231,1328,10036.666666666666
1964,89,f,5151,2434,2717,1875,26325,2446,2488,26311
1964,89,m,2476,1164,1312,1875,10292,1184,1185,10291.666666666666
1965,89,f,5295,2702,2593,1876,27511,2434,2717,27416.666666666668
1965,89,m,2437,1232,1205,1876,10797,1164,1312,10747.666666666666
1966,89,f,5624,2743,2881,1877,29001,2702,2593,29037.333333333332
1966,89,m,2519,1193,1326,1877,11243,1232,1205,11252
1967,89,f,5795,2745,3050,1878,29289,2743,2881,29243
1967,89,m,2609,1242,1367,1878,11178,1193,1326,11133.666666666666
1968,89,f,5736,2856,2880,1879,30378,2745,3050,30276.333333333332
1968,89,m,2704,1318,1386,1879,11375,1242,1367,11333.333333333334
1969,89,f,5996,3103,2893,1880,31279,2856,2880,31271
1969,89,m,2664,1416,1248,1880,11383,1318,1386,11360.333333333334
1970,89,f,6370,2975,3395,1881,32946,3103,2893,33016
1970,89,m,2746,1276,1470,1881,11960,1416,1248,12016
1971,89,f,6286,3251,3035,1882,34373,2975,3395,34233
1971,89,m,2636,1351,1285,1882,11918,1276,1470,11853.333333333334
1972,89,f,6654,3236,3418,1883,35204,3251,3035,35276
1972,89,m,2776,1321,1455,1883,12254,1351,1285,12276
1973,89,f,6757,3382,3375,1884,36943,3236,3418,36882.333333333336
1973,89,m,2776,1413,1363,1884,12638,1321,1455,12593.333333333334
1974,89,f,7080,3545,3535,1885,38110,3382,3375,38112.333333333336
1974,89,m,2912,1484,1428,1885,13007,1413,1363,13023.666666666666
1975,89,f,7136,3586,3550,1886,38360,3545,3535,38363.333333333336
1975,89,m,2887,1448,1439,1886,12793,1484,1428,12811.666666666666
1976,89,f,7030,3524,3506,1887,39958,3586,3550,39970
1976,89,m,2962,1495,1467,1887,13144,1448,1439,13147
1977,89,f,7125,3547,3578,1888,41934,3524,3506,41940
1977,89,m,2972,1481,1491,1888,13699,1495,1467,13708.333333333334
1978,89,f,7276,3537,3739,1889,43392,3547,3578,43381.666666666664
1978,89,m,2888,1509,1379,1889,13859,1481,1491,13855.666666666666
1979,89,f,7111,3590,3521,1890,43332,3537,3739,43264.666666666664
1979,89,m,2787,1433,1354,1890,13599,1509,1379,13642.333333333334
1980,89,f,8024,3970,4054,1891,46608,3590,3521,46631
1980,89,m,3235,1644,1591,1891,14580,1433,1354,14606.333333333334
1981,89,f,7615,3959,3656,1892,46534,3970,4054,46506
1981,89,m,2871,1442,1429,1892,13916,1644,1591,13933.666666666666
1982,89,f,8605,4179,4426,1893,50703,3959,3656,50804
1982,89,m,3166,1569,1597,1893,14901,1442,1429,14905.333333333334
1983,89,f,8753,4468,4285,1894,52133,4179,4426,52050.666666666664
1983,89,m,3148,1575,1573,1894,15011,1569,1597,15001.666666666666
1984,89,f,8258,3985,4273,1895,51837,4468,4285,51898
1984,89,m,3262,1581,1681,1895,15094,1575,1573,15094.666666666666
1985,89,f,9363,4392,4971,1896,57150,3985,4273,57054
1985,89,m,3792,1877,1915,1896,17927,1581,1681,17893.666666666668
1986,89,f,8980,4459,4521,1897,58331,4392,4971,58138
1986,89,m,3674,1831,1843,1897,18665,1877,1915,18652.333333333332
1987,89,f,8768,4580,4188,1898,59204,4459,4521,59183.333333333336
1987,89,m,3769,1937,1832,1898,19740,1831,1843,19736
1988,89,f,9235,4628,4607,1899,63429,4580,4188,63559.666666666664
1988,89,m,4174,2123,2051,1899,21500,1937,1832,21535
1989,89,f,9776,4909,4867,1900,65943,4628,4607,65950
1989,89,m,4522,2261,2261,1900,22822,2123,2051,22846
1990,89,f,10351,5229,5122,1901,72923,4909,4867,72937
1990,89,m,4762,2400,2362,1901,24816,2261,2261,24816
1991,89,f,10567,5289,5278,1902,75290,5229,5122,75325.66666666667
1991,89,m,4981,2552,2429,1902,26445,2400,2362,26457.666666666668
1992,89,f,10514,5161,5353,1903,76160,5289,5278,76163.66666666667
1992,89,m,5035,2572,2463,1903,27039,2552,2429,27080
1993,89,f,10697,5569,5128,1904,78800,5161,5353,78736
1993,89,m,5129,2645,2484,1904,28078,2572,2463,28114.333333333332
1994,89,f,10580,5252,5328,1905,81302,5569,5128,81449
1994,89,m,5282,2654,2628,1905,29528,2645,2484,29581.666666666668
1995,89,f,11287,5629,5658,1906,84929,5252,5328,84903.66666666667
1995,89,m,5582,2800,2782,1906,30667,2654,2628,30675.666666666668
1963,90,f,4041,2022,2019,1873,18919,2119,2537,18779.666666666668
1963,90,m,1790,901,889,1873,7006,1013,1096,6978.333333333333
1964,90,f,4322,2003,2319,1874,20050,2022,2019,20051
1964,90,m,1905,877,1028,1874,7700,901,889,7704
1965,90,f,4466,2292,2174,1875,21174,2003,2319,21068.666666666668
1965,90,m,1865,961,904,1875,7816,877,1028,7765.666666666667
1966,90,f,4687,2304,2383,1876,22216,2292,2174,22255.333333333332
1966,90,m,2166,1062,1104,1876,8360,961,904,8379
1967,90,f,5036,2442,2594,1877,23377,2304,2383,23350.666666666668
1967,90,m,2288,1068,1220,1877,8724,1062,1104,8710
1968,90,f,4818,2405,2413,1878,23494,2442,2594,23443.333333333332
1968,90,m,2127,1028,1099,1878,8569,1068,1220,8518.333333333334
1969,90,f,5138,2580,2558,1879,24642,2405,2413,24639.333333333332
1969,90,m,2181,1103,1078,1879,8671,1028,1099,8647.333333333334
1970,90,f,5343,2620,2723,1880,25283,2580,2558,25290.333333333332
1970,90,m,2120,1031,1089,1880,8719,1103,1078,8727.333333333334
1971,90,f,5123,2524,2599,1881,26576,2620,2723,26541.666666666668
1971,90,m,2191,1106,1085,1881,9214,1031,1089,9194.666666666666
1972,90,f,5722,2794,2928,1882,28087,2524,2599,28062
1972,90,m,2263,1107,1156,1882,9282,1106,1085,9289
1973,90,f,5640,2798,2842,1883,28550,2794,2928,28505.333333333332
1973,90,m,2151,1122,1029,1883,9478,1107,1156,9461.666666666666
1974,90,f,6205,3073,3132,1884,30186,2798,2842,30171.333333333332
1974,90,m,2438,1231,1207,1884,9862,1122,1029,9893
1975,90,f,6302,3061,3241,1885,31030,3073,3132,31010.333333333332
1975,90,m,2488,1204,1284,1885,10095,1231,1207,10103
1976,90,f,5764,2894,2870,1886,31224,3061,3241,31164
1976,90,m,2365,1221,1144,1886,9906,1204,1284,9879.333333333334
1977,90,f,6200,3066,3134,1887,32928,2894,2870,32936
1977,90,m,2429,1215,1214,1887,10182,1221,1144,10207.666666666666
1978,90,f,6325,3235,3090,1888,34809,3066,3134,34786.333333333336
1978,90,m,2481,1237,1244,1888,10727,1215,1214,10727.333333333334
1979,90,f,6697,3382,3315,1889,36116,3235,3090,36164.333333333336
1979,90,m,2545,1319,1226,1889,10971,1237,1244,10968.666666666666
1980,90,f,6790,3419,3371,1890,36221,3382,3315,36243.333333333336
1980,90,m,2489,1241,1248,1890,10812,1319,1226,10843
1981,90,f,6988,3558,3430,1891,38584,3419,3371,38600
1981,90,m,2558,1330,1228,1891,11345,1241,1248,11342.666666666666
1982,90,f,7100,3413,3687,1892,38919,3558,3430,38961.666666666664
1982,90,m,2595,1318,1277,1892,11045,1330,1228,11079
1983,90,f,7657,3919,3738,1893,42098,3413,3687,42006.666666666664
1983,90,m,2633,1398,1235,1893,11735,1318,1277,11748.666666666666
1984,90,f,7938,3861,4077,1894,43380,3919,3738,43440.333333333336
1984,90,m,2687,1331,1356,1894,11863,1398,1235,11917.333333333334
1985,90,f,7668,3792,3876,1895,43579,3861,4077,43507
1985,90,m,2709,1371,1338,1895,11832,1331,1356,11823.666666666666
1986,90,f,8008,4024,3984,1896,47787,3792,3876,47759
1986,90,m,3103,1593,1510,1896,14135,1371,1338,14146
1987,90,f,8016,4037,3979,1897,49351,4024,3984,49364.333333333336
1987,90,m,3193,1654,1539,1897,14991,1593,1510,15018.666666666666
1988,90,f,8198,4102,4096,1898,50436,4037,3979,50455.333333333336
1988,90,m,3449,1739,1710,1898,15971,1654,1539,16009.333333333334
1989,90,f,9053,4576,4477,1899,54194,4102,4096,54196
1989,90,m,3539,1795,1744,1899,17326,1739,1710,17335.666666666668
1990,90,f,8700,4386,4314,1900,56167,4576,4477,56200
1990,90,m,3839,1991,1848,1900,18300,1795,1744,18317
1991,90,f,9964,5044,4920,1901,62572,4386,4314,62596
1991,90,m,4107,2056,2051,1901,20054,1991,1848,20101.666666666668
1992,90,f,9565,4672,4893,1902,64723,5044,4920,64764.333333333336
1992,90,m,4330,2165,2165,1902,21464,2056,2051,21465.666666666668
1993,90,f,9623,4863,4760,1903,65646,4672,4893,65572.33333333333
1993,90,m,4413,2277,2136,1903,22004,2165,2165,22004
1994,90,f,10034,5019,5015,1904,68103,4863,4760,68137.33333333333
1994,90,m,4507,2271,2236,1904,22949,2277,2136,22996
1995,90,f,10401,5216,5185,1905,70722,5019,5015,70723.33333333333
1995,90,m,4870,2458,2412,1905,24246,2271,2236,24257.666666666668
1996,90,f,11024,5511,5513,1906,73642,5216,5185,73652.33333333333
1996,90,m,5034,2481,2553,1906,25085,2458,2412,25100.333333333332
1964,91,f,3494,1607,1887,1873,14878,1694,1742,14862
1964,91,m,1463,679,784,1873,5216,721,773,5198.666666666667
1965,91,f,3546,1764,1782,1874,15728,1607,1887,15634.666666666666
1965,91,m,1553,788,765,1874,5795,679,784,5760
1966,91,f,3885,1900,1985,1875,16708,1764,1782,16702
1966,91,m,1602,766,836,1875,5951,788,765,5958.666666666667
1967,91,f,4032,1973,2059,1876,17529,1900,1985,17500.666666666668
1967,91,m,1719,845,874,1876,6194,766,836,6170.666666666667
1968,91,f,4090,2065,2025,1877,18341,1973,2059,18312.333333333332
1968,91,m,1729,850,879,1877,6436,845,874,6426.333333333333
1969,91,f,4219,2119,2100,1878,18676,2065,2025,18689.333333333332
1969,91,m,1769,949,820,1878,6442,850,879,6432.333333333333
1970,91,f,4314,2075,2239,1879,19504,2119,2100,19510.333333333332
1970,91,m,1707,837,870,1879,6490,949,820,6533
1971,91,f,4300,2172,2128,1880,19940,2075,2239,19885.333333333332
1971,91,m,1659,842,817,1880,6599,837,870,6588
1972,91,f,4761,2274,2487,1881,21453,2172,2128,21467.666666666668
1972,91,m,1836,881,955,1881,7023,842,817,7031.333333333333
1973,91,f,4713,2353,2360,1882,22365,2274,2487,22294
1973,91,m,1807,911,896,1882,7019,881,955,6994.333333333333
1974,91,f,5073,2558,2515,1883,22910,2353,2360,22907.666666666668
1974,91,m,1939,978,961,1883,7327,911,896,7332
1975,91,f,5261,2517,2744,1884,23981,2558,2515,23995.333333333332
1975,91,m,1961,965,996,1884,7424,978,961,7429.666666666667
1976,91,f,5092,2495,2597,1885,24728,2517,2744,24652.333333333332
1976,91,m,1925,956,969,1885,7607,965,996,7596.666666666667
1977,91,f,5035,2437,2598,1886,25460,2495,2597,25426
1977,91,m,1925,996,929,1886,7541,956,969,7536.666666666667
1978,91,f,5480,2773,2707,1887,26728,2437,2598,26674.333333333332
1978,91,m,1945,997,948,1887,7753,996,929,7775.333333333333
1979,91,f,5671,2817,2854,1888,28484,2773,2707,28506
1979,91,m,2065,1077,988,1888,8246,997,948,8262.333333333334
1980,91,f,6111,3021,3090,1889,29419,2817,2854,29406.666666666668
1980,91,m,2158,1107,1051,1889,8426,1077,988,8455.666666666666
1981,91,f,5781,2895,2886,1890,29431,3021,3090,29408
1981,91,m,2050,1054,996,1890,8323,1107,1051,8341.666666666666
1982,91,f,6441,3231,3210,1891,31596,2895,2886,31599
1982,91,m,2155,1054,1101,1891,8787,1054,996,8806.333333333334
1983,91,f,6321,3223,3098,1892,31819,3231,3210,31826
1983,91,m,2092,1075,1017,1892,8450,1054,1101,8434.333333333334
1984,91,f,6867,3354,3513,1893,34441,3223,3098,34482.666666666664
