Year,Sex,Age,AgeInterval,Lexis,Deaths
1755,m,10,5,RR,500
1755,m,15,5,RR,472
1755,m,20,5,RR,621
1755,m,25,5,RR,642
1755,m,30,5,RR,687
1755,m,35,5,RR,682
1755,m,40,5,RR,796
1755,m,45,5,RR,689
1755,m,50,5,RR,878
1755,m,55,5,RR,772
1755,m,60,5,RR,904
1755,m,65,5,RR,1021
1755,m,70,5,RR,1106
1755,m,75,5,RR,781
1755,m,80,5,RR,599
1755,m,85,5,RR,323
1755,m,90,+,RR,160
1756,f,0,1,RR,7013
1756,f,1,2,RR,2797
1756,f,3,2,RR,1219
1756,f,5,5,RR,1157
1756,f,10,5,RR,543
1756,f,15,5,RR,470
1756,f,20,5,RR,548
1756,f,25,5,RR,638
1756,f,30,5,RR,807
1756,f,35,5,RR,633
1756,f,40,5,RR,809
1756,f,45,5,RR,591
1756,f,50,5,RR,730
1756,f,55,5,RR,836
1756,f,60,5,RR,1190
1756,f,65,5,RR,1310
1756,f,70,5,RR,1685
1756,f,75,5,RR,1315
1756,f,80,5,RR,1035
1756,f,85,5,RR,518
1756,f,90,+,RR,371
1756,m,0,1,RR,7936
1756,m,1,2,RR,2732
1756,m,3,2,RR,1380
1756,m,5,5,RR,1214
1756,m,10,5,RR,582
1756,m,15,5,RR,527
1756,m,20,5,RR,678
1756,m,25,5,RR,708
1756,m,30,5,RR,772
1756,m,35,5,RR,688
1756,m,40,5,RR,897
1756,m,45,5,RR,750
1756,m,50,5,RR,889
1756,m,55,5,RR,894
1756,m,60,5,RR,981
1756,m,65,5,RR,962
1756,m,70,5,RR,1167
1756,m,75,5,RR,889
1756,m,80,5,RR,628
1756,m,85,5,RR,362
1756,m,90,+,RR,211
1757,f,0,1,RR,6385
1757,f,1,2,RR,3340
1757,f,3,2,RR,1679
1757,f,5,5,RR,1510
1757,f,10,5,RR,676
1757,f,15,5,RR,542
1757,f,20,5,RR,602
1757,f,25,5,RR,743
1757,f,30,5,RR,957
1757,f,35,5,RR,651
1757,f,40,5,RR,841
1757,f,45,5,RR,667
